cnpj,jusbrasil,inidonea,numero_cnae,score
01611487000101,0,0,1,0
01930116000192,0,0,1,0
01938152000100,0,0,1,0
01938154000191,0,0,1,0
01938369000102,0,0,1,0
01938374000115,0,0,1,0
01938376000104,0,0,1,0
01938377000159,0,0,1,0
02567270000104,0,0,16,5.33333333333333
02776800000124,0,0,0,0
02776837000152,0,0,0,0
03150649000187,0,0,1,0
03157125000118,0,0,1,0
03157155000124,0,0,1,0
03177272000150,0,0,1,0
03177299000142,0,0,1,0
03181993000133,0,0,1,0
03364553000111,0,0,3,0
03826303000156,0,0,0,0
03826303000237,0,0,0,0
03954830000146,0,0,4,0
03954830000227,0,0,0,0
03954830000308,0,0,1,0
03954830000499,0,0,1,0
03954830000570,0,0,1,0
03954830000650,0,0,0,0
03954830000731,0,0,1,0
03954830000812,0,0,1,0
03954830000901,0,0,1,0
03954830001037,0,0,1,0
03954830001118,0,0,1,0
03954830001207,0,0,1,0
03954830001380,0,0,1,0
03954830001460,0,0,0,0
03954830001541,0,0,1,0
03954830001622,0,0,1,0
03954830001703,0,0,1,0
03954830001894,0,0,1,0
03954830001975,0,0,0,0
03954830002009,0,0,0,0
03954830002190,0,0,0,0
03954830002270,0,0,0,0
03954830002351,0,0,1,0
03954830002432,0,0,1,0
04833413000108,0,0,1,0
04839900000188,0,0,5,1.66666666666667
04839900000269,0,0,0,0
04839900000340,0,0,3,0
04839900000420,0,0,3,0
04839900000501,0,0,3,0
04839900000692,0,0,3,0
04839900000773,0,0,3,0
04839900000854,0,0,3,0
05088203000103,0,0,0,0
06073039000115,0,0,0,0
06177153000195,0,0,3,0
06871259000194,0,0,1,0
07018761000110,0,0,69,23
07018761000209,0,0,69,23
07099048000148,0,0,3,0
07442731000136,0,0,20,6.66666666666667
07513355000123,0,0,1,0
07513384000195,0,0,1,0
07527703000111,0,0,1,0
08091529000170,0,0,14,4.66666666666667
08345105000194,0,0,32,10.6666666666667
08378909000190,0,0,1,0
08700130000149,0,0,1,0
08700130000220,0,0,1,0
08700130000300,0,0,1,0
08700130000491,0,0,0,0
08700130000572,0,0,0,0
08700130000653,0,0,0,0
08700130000734,0,0,0,0
08700130000815,0,0,1,0
08700130000904,0,0,1,0
08700130001030,0,0,0,0
08700130001110,0,0,0,0
08700130001200,0,0,0,0
08700130001382,0,0,0,0
08700130001463,0,0,0,0
09147121000135,0,0,0,0
09373580000137,0,0,3,0
09373580000218,0,0,0,0
10944608000128,0,0,0,0
11351782000120,0,0,1,0
11683037000188,0,0,4,0
12605876000140,0,0,2,0
12689295000134,8,0,7,5
12689295000215,3,0,7,3.33333333333333
12689295000304,0,0,5,1.66666666666667
12689295000487,0,0,8,2.66666666666667
12689295000568,1,0,5,2
12689295000649,0,0,6,2
12689295000720,0,0,5,1.66666666666667
12709383000150,0,0,2,0
12778951000175,0,0,2,0
13973076000145,0,0,2,0
14100428000110,0,0,5,1.66666666666667
14104393000198,0,0,21,7
16693177000150,2,0,12,4.66666666666667
16693177000231,0,0,12,4
16900130000110,0,0,3,0
17384498000136,0,0,0,0
17579060000103,1,0,3,0.333333333333333
17579060000294,0,0,3,0
17579060000375,0,0,3,0
17772184000100,0,0,27,9
18358076000159,0,0,0,0
18695347000161,8,0,24,10.6666666666667
22664168000134,0,0,10,3.33333333333333
23656145000140,0,0,6,2
23750879000194,0,0,9,3
24415659000177,0,0,21,7
24961936000147,0,0,0,0
25390171000103,0,0,22,7.33333333333333
31582699000179,0,0,2,0
32150561000163,0,0,4,0
32231434000199,0,0,4,0
40997595000116,0,0,1,0
