,cnpj,razao_social,nome_fantasia,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal,descricao_tipo_logradouro,logradouro,numero,bairro,municipio,cep,uf,correio_eletronico,qualificacao_responsavel,capital_social_empresa,porte_empresa,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,jusbrasil,inidonea,numero_cnae,score,lat,lon
0,1611487000101,ESTATUTO DO CONSELHO ESCOLAR,CENTRO DE EDUCACAO RURAL PROF MARIA JOSE DE MELO - CERU,2019-02-21,1996-12-30,6630400,,LOC POV LARANJEIR DO ABDIAS,S/N,LARANJEIRAS ABDIAS,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.1609057,-35.3130388
1,1930116000192,CAIXA ESCOLAR DA ESCOLA MUNICIPAL PROF SEVERINO BEZERRA DEMELO,,2019-02-21,1997-06-09,6630400,RUA,OLAVO FELICIANO,131,CENTRO,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0704758,-35.2392805
2,1938152000100,CAIXA ESCOLAR DA ESCOLA MUNICIPAL CONEGO PEDRO PAULINO,ESCOLA MUNICIPAL CONEGO PEDRO PAULINO,2019-02-21,1997-06-23,6630400,,MENDES,S/N,DISTRITO DE MENDES,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-5.983333,-35.3
3,1938154000191,CAIXA ESCOLAR DA ESCOLA MUNICIPAL JULIO FERREIRA DA SILVA,,2019-02-21,1997-06-23,6630400,,LARANJEIRAS DOS COSMES,S/N,LARANJ. DOS COSMES,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0508004,-35.2585581
4,1938369000102,CAIXA ESCOLAR DA ESCOLA MUNICIPAL MARIA SALETE DE LIMA,ESCOLA MUNICIPAL MARIA SALETE DE LIMA,2019-02-21,1997-06-23,6630400,SITIO,JAPECANGA,S/N,DIST DE JAAPECANGA,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-5.9379523,-35.3144296
5,1938374000115,CAIXA ESCOLAR DA ESCOLA MUNICIPAL PREFEITO JANILSON FERREIRA,ESCOLA MUNICIPAL PREFEITO JANILSON FERREIRA,2019-02-21,1997-06-23,6630400,,ARENA,S/N,DISTRITO DO ARENA,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0742528,-35.2369601
6,1938376000104,CAIXA ESCOLAR DA ESCOLA MUNICIPAL JENUINO DE SOUZA MENINO,ESCOLA MUNICIPAL JENUINO DE SOUZA MENINO,2019-02-22,1997-06-25,6630400,,MANIMBU,S/N,DISTRITO DE MANIMBU,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.1105642,-35.2748891
7,1938377000159,CAIXA ESCOLAR DA ESCOLA MUNICIPAL CLORIS TRIGUEIRO PEIXOTO,ESCOLA MUNICIPAL PROFESSOR CLORIS TRIGUEIRO PEIXOTO,2019-02-21,1997-06-23,6630400,RUA,DAS JAQUEIRAS,S/N,PAU BRASIL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0508004,-35.2585581
8,2567270000104,CLAREAR COMERCIO E SERVICOS DE MAO DE OBRA - EIRELI,CLAREAR COMERCIO E SERVICO DE MAO DE OBRA LTDA,2005-11-03,1998-06-04,7820500,AVENIDA,DEODORO DA FONSECA,844,CIDADE ALTA,NATAL,59025225,RN,ACERTCONTABIL@GMAIL.COM,65,300000,1,0,,,N,,,0,0,16,5.33333333333333,-5.7882111,-35.204594
9,2776800000124,TRANSPORTADORA SAO TOME LTDA,,1998-09-30,1998-09-30,4930201,RUA,JOAO XAVIER PEREIRA SOBRAL,345-A,CENTRO,CEARA-MIRIM,59570000,RN,,49,0,5,0,,,N,,,0,0,0,0.0,-5.650983399999999,-35.4217803
