lat;lon;escola;logradouro;num;cidade;cod
-5.70602080;-35.30667990;CENTRO DE EDUCACAO PROFISSIONAL E AMBIENTAL ESCOLA DAS DUNAS;RUA ZEFERINA LOPES;18;EXTREMOZ - RN;4
-5.7042810;-35.29062230;ESCOLA ESTADUAL ALMIRANTE TAMANDARE;R ALM NEWTON BRAGA DE FARIAS;145;EXTREMOZ - RN;5
-5.70602080;-35.30667990;ESCOLA ESTADUAL FELIPE CAMARAO;RUA CAPITAO FRANCISCO PEREIRA;239;EXTREMOZ - RN;6
-5.85823860;-35.34256250;ESCOLA ESTADUAL  ARCELINA FERNANDES;R DR PEDRO MATOS;443;MACAIBA - RN;16
-5.85775750;-35.35204060;ESCOLA ESTADUAL  AUTA DE SOUZA;TRAVESSA CORONEL AURELIANO;13;MACAIBA - RN;17
-5.86006190;-35.34983030;ESCOLA ESTADUAL  HENRIQUE CASTRICIANO DE SOUZA;R JOAO SANTIAGO DE OLIVEIRA;1;MACAIBA - RN;19
-5.84768910;-35.3710770;ESCOLA ESTADUAL  MARIA EMILIA DUARTE PEREIRA;RUA OLIMPIO MACIEL;889;MACAIBA - RN;20
-5.85900630;-35.34825280;ESCOLA ESTADUAL  PROFESSOR PAULO NOBRE;R PROFº CAETANO;400;MACAIBA - RN;22
-5.85950640;-35.34884490;ESCOLA ESTADUAL  DOUTOR SEVERIANO;R DR HERACLITO VILAR;100;MACAIBA - RN;23
-5.80256230;-35.21644740;ESCOLA ESTADUAL CASA DO MENOR TRABALHADOR;PRES JOSE BENTO;927;NATAL - RN;26
-5.78511810;-35.19997680;CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFESSOR FELIPE GUERRA;RUA TRAIRI;406;NATAL - RN;27
-5.79118740;-35.2012290;COL EST DO ATHENEU NORTE RIOGRANDENSE;AV CAMPOS SALES;393;NATAL - RN;29
-5.81268140;-35.22477470;ESCOLA ESTADUAL AMBULATORIO MATIAS MOREIRA;R PROFA JOSEFA BOTELHO;220;NATAL - RN;30
-5.81168970;-35.20172630;ESCOLA ESTADUAL AMBULATORIO PADRE JOAO MARIA;RUA AMARO MESQUITA;20;NATAL - RN;31
-5.83472160;-35.26720990;ESCOLA ESTADUAL UNIAO;RUA PROFESSOR COUTINHO;679;NATAL - RN;32
-5.80055370;-35.23794080;ESCOLA ESTADUAL CONEGO MONTE;AV BERNARDO VIEIRA;130;NATAL - RN;33
-5.82901770;-35.24865650;ESCOLA ESTADUAL EURIPEDES BARSANULFO;RUA SAO BENEDITO;377;NATAL - RN;34
-5.786167799999999;-35.20065690;ESCOLA ESTADUAL AUGUSTO SEVERO;RUA MIPIBU;449;NATAL - RN;38
-5.80100180;-35.23004280;ESCOLA ESTADUAL DOUTOR GRACILIANO LORDAO;RUA DOS PEGAS;531;NATAL - RN;48
-5.79863650;-35.2019050;ESCOLA ESTADUAL DOUTOR MANOEL DANTAS;R ALBERTO MARANHAO;892;NATAL - RN;50
-5.81520970;-35.23120910;ESCOLA ESTADUAL DOUTOR MANOEL VILLACA;RUA MIGUEL CASTRO;133;NATAL - RN;51
-5.7985490;-35.23711760;ESCOLA ESTADUAL FELIZARDO MOURA;RUA MARIO NEGOCIO;2084;NATAL - RN;52
-5.80910690;-35.19600710;ESCOLA ESTADUAL GENERAL ANTONIO VISINGTAINER SANTOS ROCHA;TRAV TEN CERQUEIRA;6;NATAL - RN;54
-5.88439850;-35.17086240;ESCOLA ESTADUAL JERONIMO DE ALBUQUERQUE;R MANOEL CORINGA DE LEMOS;70;NATAL - RN;59
-5.79783440;-35.20904489999999;ESCOLA ESTADUAL JERONIMO GUEIROS;RUA ANTONIO DE MELO;1250;NATAL - RN;60
-5.80259840;-35.20691040;ESCOLA ESTADUAL MASCARENHAS HOMEM;AV PRUDENTE DE MORAIS;2794;NATAL - RN;64
-5.79284320;-35.19047470;ESCOLA ESTADUAL MONSENHOR ALFREDO PEGADO;AV JOAO XXIII;603;NATAL - RN;65
-5.78827560;-35.21398280;ESCOLA ESTADUAL PASSO DA PATRIA;RUA OCIDENTAL DE BAIXO;338;NATAL - RN;68
-5.78495120;-35.1934270;ESCOLA ESTADUAL  PEDRO MENDES GOUVEIA;RUA MAJOR AFONSO MAGALHAES,;111;NATAL - RN;69
-5.82608980;-35.20996050;ESCOLA ESTADUAL PRESIDENTE CAFE FILHO;RUA CEL NORTON CHAVES;4;NATAL - RN;70
-5.785343699999999;-35.1993940;ESCOLA ESTADUAL PROFESSOR ANISIO TEIXEIRA;RUA TRAIRI;480;NATAL - RN;72
-5.806928099999999;-35.20422480;ESCOLA ESTADUAL PROFESSOR BARTOLOMEU FAGUNDES;AV ALEXANDRINO DE ALENCAR;1247;NATAL - RN;73
-5.797963699999999;-35.21724940;ESCOLA ESTADUAL PROFESSOR JOAO TIBURCIO;RUA PRESIDENTE BANDEIRA;536;NATAL - RN;76
-5.794478499999999;-35.21095310;ESCOLA ESTADUAL PROFESSORA JOSEFA SAMPAIO;RUA PROFESSOR JOSE MELQUIADES;18;NATAL - RN;80
-5.808571562791829;-35.23648335165103;ESCOLA ESTADUAL  PROFESSORA MARIA ILKA DE MOURA;RUA MANOEL MIRANDA;2758;NATAL - RN;85
-5.808982599999999;-35.22224420;ESCOLA ESTADUAL  PROFESSORA MARIA LIDIA;R BARAUNA;888;NATAL - RN;86
-5.80060680;-35.22977850;ESCOLA ESTADUAL  PROFESSOR THEODULO CAMARA;RUA SAO GERALDO;85;NATAL - RN;91
-5.7742520;-35.19544610;ESCOLA ESTADUAL  PROFESSORA OLDA MARINHO;AVENIDA 25 DE DEZEMBRO;14;NATAL - RN;92
-5.80690260;-35.23549210;ESCOLA ESTADUAL ROTARY;RUA DOS PAIATIS;2004;NATAL - RN;94
-5.79293710;-35.18685640;ESCOLA ESTADUAL SELVA CAPISTRANO LOPES;RUA GUANABARA;880;NATAL - RN;96
-5.81392230;-35.22687579999999;ESCOLA ESTADUAL SOLDADO LUIZ GONZAGA;AV. AMINTAS BARROS;1198;NATAL - RN;98
-5.78468510;-35.20624360;ESCOLA ESTADUAL WINSTON CHURCHILL;AV RIO BRANCO;500;NATAL - RN;104
-5.782049199999999;-35.20669940;ESCOLA ESTADUAL  PROFESSOR ULISSES DE GOIS;AV CAMARA CASCUDO;390;NATAL - RN;105
-5.79305950;-35.21439220;INST PE MIGUELINHO;R FONSECA E SILVA;1103;NATAL - RN;107
-5.74686940;-35.26030680;ESCOLA ESTADUAL 15 DE OUTUBRO;AV. DAS FRONTEIRAS;3142;NATAL - RN;108
-5.74731520;-35.2447810;ESCOLA ESTADUAL DOM JOSE ADELINO DANTAS;RUA BRAGANTINA;139;NATAL - RN;112
